name,rating,cost,cuisine,rating_count_num,city
Le Bon,4.2,399.0,"Bakery,Pizzas",100.0,Adityapur
Foodie Baba,3.89446135316808,200.0,"Chinese,South Indian",0.0,Adityapur
New Chappan Bhog - Bistupur,4.3,200.0,"Sweets,Snacks",20.0,Adityapur
TIME OUT,4.1,299.0,"Chaat,South Indian",100.0,Adityapur
GUAVA - ALL DAY BISTRO,3.8,300.0,"Chinese,Biryani",50.0,Adityapur
Laziz Biryani,3.89446135316808,150.0,Biryani,0.0,Adityapur
Chulha Chauka,3.5,100.0,"Thalis,Indian",20.0,Adityapur
Olive  Multicuisine Restaurant,4.0,300.0,"Chinese,North Indian",50.0,Adityapur
Hong Kong,4.0,400.0,Chinese,20.0,Adityapur
BAKING BOND,4.4,199.0,"Bakery,Desserts",20.0,Adityapur
MUMMY SPECIAL KITCHEN,3.89446135316808,250.0,"Indian,Chinese",0.0,Adityapur
DESI BIDESI,3.89446135316808,200.0,North Indian,0.0,Adityapur
Puja Bhojnalaya,3.89446135316808,200.0,"Indian,Biryani",0.0,Adityapur
Blooms,3.8,250.0,Indian,50.0,Adityapur
Chai Break,4.3,400.0,"North Indian,Chinese",20.0,Adityapur
BIRYANI  WALE,2.4,200.0,Biryani,50.0,Adityapur
Kebabchi,3.89446135316808,300.0,"Indian,Snacks",0.0,Adityapur
Pizza Peddler,3.8,200.0,"Pizzas,Pastas",50.0,Adityapur
Veggie Corner( Hotel Nataraj),4.3,499.0,"Pizzas,South Indian",20.0,Adityapur
Dosa king,3.89446135316808,200.0,South Indian,0.0,Adityapur
Bhatia Milkshake,4.3,299.0,Beverages,20.0,Adityapur
Candle light,3.89446135316808,250.0,"Indian,Chinese",0.0,Adityapur
RECIPE,3.89446135316808,300.0,"Indian,Bengali",0.0,Adityapur
Equinox,4.5,400.0,"Indian,Chinese",20.0,Adityapur
THE BOULANGERIE,3.89446135316808,300.0,"Bakery,Burgers",0.0,Adityapur
MOTHER'S BAKERY,3.89446135316808,200.0,Bakery,0.0,Adityapur
Thanco's Natural Ice Cream,4.5,299.0,Ice Cream,20.0,Adityapur
Gopalram Restaurant,3.89446135316808,100.0,"South Indian,Chinese",0.0,Adityapur
MEDIVALS MEAL,3.89446135316808,250.0,"Chinese,Indian",0.0,Adityapur
Kwality,4.0,499.0,"Indian,Chinese",20.0,Adityapur
Chinese Fusion,3.89446135316808,200.0,Indian,0.0,Adityapur
Bon Appetit,4.1,300.0,"Indian,Chinese",20.0,Adityapur
JH05 Cafe,3.89446135316808,200.0,"Chinese,Beverages",0.0,Adityapur
Social 75,4.0,399.0,"Continental,Indian",20.0,Adityapur
AADD M AADD B,3.89446135316808,180.0,"Ice Cream,Beverages",0.0,Adityapur
Baskin Robbins,4.6,250.0,"Desserts,Ice Cream",50.0,Adityapur
Blue Sapphire,3.89446135316808,200.0,"Indian,Biryani",0.0,Adityapur
BAMBOO CAFE,3.89446135316808,100.0,"Indian,Chinese",0.0,Adityapur
Sagar's Kitchen Kraft,3.7,199.0,"Indian,Chinese",50.0,Adityapur
Pajji Da Lassi,3.89446135316808,100.0,Beverages,0.0,Adityapur
Fakira Chanachur (Tulsi Bhawan),3.89446135316808,100.0,"Indian,Snacks",0.0,Adityapur
The Food Circus,3.89446135316808,299.0,"Chinese,Continental",0.0,Adityapur
Crunchicken,3.89446135316808,300.0,"Indian,American",0.0,Adityapur
Delight Foods,3.89446135316808,200.0,Indian,0.0,Adityapur
SAGAR SWEETS,3.89446135316808,250.0,"Indian,Snacks",0.0,Adityapur
Spice Zone( Hotel Nataraj),3.89446135316808,250.0,Indian,0.0,Adityapur
Lion's Pride,3.5,200.0,North Indian,20.0,Adityapur
Mainland India,3.89446135316808,200.0,"Indian,Thalis",0.0,Adityapur
So china,3.89446135316808,299.0,"Chinese,Tibetan",0.0,Adityapur
Cafe Regal,3.89446135316808,200.0,"Fast Food,Snacks",0.0,Adityapur
Chopsticks,3.3,499.0,"Indian,Chinese",20.0,Adityapur
Momo Kitchen,3.89446135316808,200.0,"Chinese,Snacks",0.0,Adityapur
AL- HUSSAIN RESTAURANT,3.89446135316808,300.0,"Chinese,Biryani",0.0,Adityapur
Taste of China,3.89446135316808,199.0,"Chinese,Thai",0.0,Adityapur
TAZ CAKES N MOUSSE.,3.89446135316808,200.0,Desserts,0.0,Adityapur
Tasty Spoon & Gungun Tiffin,3.89446135316808,200.0,"Indian,Chinese",0.0,Adityapur
New US Pizza,3.6,299.0,"Pizzas,Snacks",100.0,Adityapur
Bhook Pyaas,3.5,200.0,"Chinese,Indian",20.0,Adityapur
Aditi Foods,3.8,100.0,Indian,20.0,Adityapur
Chinimama,4.3,199.0,"Chinese,Biryani",20.0,Adityapur
Brunch Italino (Kadma Market),3.9,200.0,"Bakery,Desserts",20.0,Adityapur
Rajasthan Sharma Hotel,3.89446135316808,200.0,"Sweets,Snacks",0.0,Adityapur
Chef Corner,3.9,299.0,"Indian,Chinese",500.0,Adityapur
Brunch Italiano,3.89446135316808,200.0,"Bakery,Desserts",0.0,Adityapur
AB Palace,3.4,200.0,"Chinese,Indian",20.0,Adityapur
Mathura Mistan Bhandar,4.5,200.0,"Sweets,Snacks",100.0,Adityapur
Bs Bakery & Cafe,3.89446135316808,200.0,"Bakery,Desserts",0.0,Adityapur
MUMBAI CHAT,3.89446135316808,100.0,Chaat,0.0,Adityapur
Pizzapuram,3.7,200.0,"Pizzas,Italian",100.0,Adityapur
SURESH SOUTH INDIAN KITCHEN,3.89446135316808,200.0,South Indian,0.0,Adityapur
Gopal Dosa,4.1,100.0,South Indian,100.0,Adityapur
Apna Adda,4.1,150.0,"Chinese,Snacks",50.0,Adityapur
Aryan Maggi Stall,3.89446135316808,150.0,"Fast Food,Pastas",0.0,Adityapur
Babu Moshai,4.0,349.0,"Indian,Chinese",50.0,Adityapur
Junction Restaurant,3.7,399.0,"Indian,Biryani",1000.0,Adityapur
Mintelaa,3.89446135316808,1000.0,"Chinese,Indian",0.0,Adityapur
The Bihari  Resturant,4.4,200.0,"North Indian,Snacks",50.0,Adityapur
DELIGHT FOOD CORNER,3.89446135316808,100.0,Chinese,0.0,Adityapur
Delhi Darbar (Sakchi ),3.7,200.0,"Chinese,Biryani",100.0,Adityapur
Shyam Store,3.89446135316808,250.0,"Indian,Chinese",0.0,Adityapur
The Hungry Bird,3.9,300.0,"North Indian,Chinese",500.0,Adityapur
FOODILICIOUS,3.89446135316808,400.0,Indian,0.0,Adityapur
The Kannelite,3.89446135316808,599.0,"Indian,Snacks",0.0,Adityapur
Manohar Chat,4.1,150.0,"Chinese,Chaat",100.0,Adityapur
Dosa Hut,4.0,200.0,"South Indian,Chinese",100.0,Adityapur
Cook'S Corner,3.89446135316808,200.0,"Chinese,Indian",0.0,Adityapur
Chicago Pizza,3.1,299.0,"Pizzas,Pastas",100.0,Adityapur
New Chappan Bhog - Sakchi,4.3,200.0,"Sweets,Snacks",100.0,Adityapur
Laziz Pizza,3.9,300.0,"Pizzas,Beverages",100.0,Adityapur
SAKCHI MISTAN BHANDAR,4.2,200.0,"Sweets,Snacks",100.0,Adityapur
BIKKGANE BIRYANI,4.1,350.0,"Biryani,Hyderabadi",100.0,Adityapur
Campus Adda,3.9,200.0,"Chinese,Biryani",100.0,Adityapur
NEW KOLKATA ARSALAN BIRYANI,3.8,250.0,"Biryani,Fast Food",50.0,Adityapur
Pizza Campus,3.89446135316808,150.0,"Fast Food,Pizzas",0.0,Adityapur
Deep Delighted Kitchen,3.89446135316808,150.0,"Chinese,Snacks",0.0,Adityapur
Biryani By Kilo,4.1,600.0,"Biryani,Hyderabadi",500.0,Adityapur
American Waffle House,4.1,200.0,"Waffle,Ice Cream",100.0,Adityapur
Chai Sutta Bar,3.89446135316808,200.0,"Beverages,Fast Food",0.0,Adityapur
New Dolphin Bakery,3.89446135316808,250.0,Bakery,0.0,Adityapur
